"pop" "anc_chr_unit" "rr_mean" "delta_rr" "ratio_rr" "prop_rr"
"1" "LSSPA" 1 2.86065026812091 -0.0619974354453192 0.978787236186671 -0.0212127638133291
"2" "LSSPA" 3 2.91882914371793 1.04401387131965 1.55686226087978 0.556862260879779
"3" "LSSPA" 2 2.06661736489066 -0.566052453383256 0.784989196345791 -0.215010803654209
"4" "LSSPA" 12 2.64501391112871 -0.401648945920145 0.868167577193231 -0.131832422806769
"5" "LSSPA" 41 3.16799033109823 -0.0316232433793338 0.99011654293769 -0.00988345706231016
"6" "LSSPA" 51 4.23624282093461 0.701541509090655 1.19847264229652 0.198472642296523
"7" "LSSPA" 0 NA NA NA NA
"8" "LSSPA" 27 4.21065124426174 2.83872214371774 3.06914638853576 2.06914638853576
"9" "LSSPA" 9 3.20503373182156 1.1760975719057 1.57966218708157 0.579662187081567
"10" "LSSPA" 11 3.38388276434286 1.23427313940281 1.57418478456861 0.57418478456861
"11" "LSSPA" 53 3.49161695190191 -1.16382840781327 0.750007073891536 -0.249992926108464
"12" "LSSPA" 22 4.44744529129077 2.15568208066542 1.94062164479777 0.940621644797768
"13" "LSSPA" 19 4.68601658644311 1.40240685007521 1.42709303561344 0.427093035613439
"14" "LSSPA" 59 2.93458483113656 -1.13589098035948 0.720943930645297 -0.279056069354703
"15" "LSSPA" 10 4.10486963246147 0.542068616343657 1.15214675585063 0.152146755850631
"16" "LSSPA" 34 3.8226914262802 0.740094153627178 1.24008785065531 0.240087850655308
"17" "LSSPA" 32 4.25369781685215 3.34533976717399 4.6828426503836 3.6828426503836
"18" "LSSPA" 31 4.89416665383372 0.77135318187315 1.18709388312597 0.187093883125966
"19" "LSSPA" 36 4.7363129533415 1.55421189563645 1.48842317307086 0.488423173070864
"20" "LSSPA" 29 3.55797001845736 0.807310080124954 1.29349686919656 0.293496869196556
"21" "LSSPA" 17 4.39351242023291 1.0195885381044 1.3021966629138 0.302196662913797
"22" "LSSPA" 8 4.24598507109038 1.17477163643372 1.38251058138037 0.382510581380368
"23" "LSSPA" 18 4.42969523636517 2.52807351060431 2.32943028382409 1.32943028382409
"24" "LSSPA" 60 4.94851049598099 0.520248114591848 1.11748357928797 0.117483579287966
"25" "LSSPA" 16 4.00285282028631 1.75195962174508 1.7783397377008 0.778339737700795
"26" "LSSPA" 15 4.66644750518494 -3.29423451031794 0.586186899074396 -0.413813100925604
