"map" "intra_contr"
"1" 1 0.000808076223196671
"2" 2 0.000702003434165048
"3" 3 0.000571381667391219
"4" 4 0.000421540788247308
"5" 5 0.000453191073729736
"6" 6 0.00046989419435688
"7" 7 0.000414508682421604
"8" 8 0.000375539869162993
"9" 9 0.000355906507081483
"10" 10 0.000328272471533681
"11" 11 0.000261950935016544
"12" 12 0.000287209624432249
"13" 13 0.000294632590041647
"14" 14 0.000242090905033252
"15" 15 0.000236658038290843
"16" 16 0.000224077278529204
"17" 17 0.000176506818446762
"18" 18 0.000164962642079059
"19" 19 0.000148217887792027
"20" 20 0.000137221244024818
"21" 21 0.000123112531669821
"22" 22 0.000108797952557209
"23" 23 0.000118831215497821
"24" 24 0.000106636268006235
"25" 25 6.6661071532821e-05
"26" 26 8.20289001856033e-05
"27" 27 6.10007201400124e-05
"28" 28 6.7608621938559e-05
"29" 29 5.12409047523616e-05
